Категория UI,Отображаемое имя,Ключ эффекта,Уровень,Поле базы,Класс,Специализация,Роль,Исходное значение,Источник кода
Утилити-бафы,3% Damage Done (all),All Damage Done (3%),Спек,specBuffs,Witch Doctor,Voodoo,Рейндж/кастер,All Damage Done (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Witch Doctor,Voodoo,Рейндж/кастер,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,Resistance Reduction,Resistance REDUCTION,Спек,specDebuffs,Witch Doctor,Voodoo,Рейндж/кастер,Resistance REDUCTION,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Small Resistances (all),Small All Resist,Класс,classBuffs,Witch Doctor,Brewing,Хилер,Small All Resist,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Witch Doctor,Brewing,Хилер,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Witch Doctor,Brewing,Хилер,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Witch Doctor,Brewing,Хилер,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,5% Resource Reduction,Cost Reduction (5%),Класс,classBuffs,Witch Doctor,Brewing,Хилер,Cost Reduction (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Cast Speed Slow,Cast Slow 30%,Класс,classDebuffs,Witch Doctor,Brewing,Хилер,Cast Slow 30%,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,3% Spell Haste,Spell Haste (3%),Спек,specBuffs,Witch Doctor,Brewing,Хилер,Spell Haste (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Replenishment,Replenishment,Спек,specBuffs,Witch Doctor,Brewing,Хилер,Replenishment,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Power Reduction,Attack Power Reduction,Спек,specDebuffs,Witch Doctor,Brewing,Хилер,Attack Power Reduction,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,Resistance Reduction,Resistance REDUCTION,Спек,specDebuffs,Witch Doctor,Brewing,Хилер,Resistance REDUCTION,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Felsworn,Infernal,Рейндж/кастер,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Felsworn,Infernal,Рейндж/кастер,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Felsworn,Infernal,Рейндж/кастер,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Shadow Resistance,Shadow,Класс,classResists,Felsworn,Infernal,Рейндж/кастер,Shadow,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Critical Strike (all),All Crit (3%),Спек,specBuffs,Felsworn,Infernal,Рейндж/кастер,All Crit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Damage Done Reduction (5%),Damage done debuff (5%),Спек,specBuffs,Felsworn,Infernal,Рейндж/кастер,Damage done debuff (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,3% Spell Hit,Spell Hit (3%) DEBUFF,Спек,specDebuffs,Felsworn,Infernal,Рейндж/кастер,Spell Hit (3%) DEBUFF,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,10% Spell Damage,Spell Dmg Taken (10%),Спек,specDebuffs,Felsworn,Infernal,Рейндж/кастер,Spell Dmg Taken (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Felsworn,Tyrant,Танк,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Felsworn,Tyrant,Танк,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Felsworn,Tyrant,Танк,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Shadow Resistance,Shadow,Класс,classResists,Felsworn,Tyrant,Танк,Shadow,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Melee & Range Haste,Melee/Range Haste (10%),Спек,specBuffs,Felsworn,Tyrant,Танк,Melee/Range Haste (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Damage Done (all),All Damage Done (3%),Спек,specBuffs,Felsworn,Tyrant,Танк,All Damage Done (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Defensive Cooldown (Raid-Wide),Raid Wall (Divine Sac),Спек,specBuffs,Felsworn,Tyrant,Танк,Raid Wall (Divine Sac),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,4% Physical Damage,Phys Dmg Taken (4%),Спек,specDebuffs,Felsworn,Tyrant,Танк,Phys Dmg Taken (4%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Power Reduction,Attack Power Reduction,Спек,specDebuffs,Felsworn,Tyrant,Танк,Attack Power Reduction,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Felsworn,Tyrant,Танк,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Damage Done Reduction (5%),Damage done debuff (5%),Спек,specDebuffs,Felsworn,Tyrant,Танк,Damage done debuff (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Felsworn,Slaying,Мили-DPS,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Felsworn,Slaying,Мили-DPS,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Felsworn,Slaying,Мили-DPS,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Shadow Resistance,Shadow,Класс,classResists,Felsworn,Slaying,Мили-DPS,Shadow,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Melee & Range Haste,Melee/Range Haste (10%),Спек,specBuffs,Felsworn,Slaying,Мили-DPS,Melee/Range Haste (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Armor,Armor (Devo),Спек,specBuffs,Felsworn,Slaying,Мили-DPS,Armor (Devo),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Felsworn,Slaying,Мили-DPS,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Cast Speed Slow,Cast Slow 30%,Спек,specDebuffs,Felsworn,Slaying,Мили-DPS,Cast Slow 30%,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,Armor Reduction,% Armor Debuff,Спек,specDebuffs,Felsworn,Slaying,Мили-DPS,% Armor Debuff,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Damage Done Reduction (5%),Damage done debuff (5%),Спек,specDebuffs,Felsworn,Slaying,Мили-DPS,Damage done debuff (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Witch Hunter,Inquisition,Мили-DPS,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Witch Hunter,Inquisition,Мили-DPS,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Witch Hunter,Inquisition,Мили-DPS,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Shadow Resistance,Shadow,Класс,classResists,Witch Hunter,Inquisition,Мили-DPS,Shadow,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Melee & Range Haste,Melee/Range Haste (10%),Спек,specBuffs,Witch Hunter,Inquisition,Мили-DPS,Melee/Range Haste (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Cast Speed Slow,Cast Slow 30%,Спек,specDebuffs,Witch Hunter,Inquisition,Мили-DPS,Cast Slow 30%,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Damage Done Reduction (5%),Damage done debuff (5%),Спек,specDebuffs,Witch Hunter,Inquisition,Мили-DPS,Damage done debuff (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Witch Hunter,Houndmaster,Рейндж/кастер,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Witch Hunter,Houndmaster,Рейндж/кастер,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Witch Hunter,Houndmaster,Рейндж/кастер,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Shadow Resistance,Shadow,Класс,classResists,Witch Hunter,Houndmaster,Рейндж/кастер,Shadow,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,3% Spell Haste,Spell Haste (3%),Спек,specBuffs,Witch Hunter,Houndmaster,Рейндж/кастер,Spell Haste (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,5% Attack Power,Attack Power %,Спек,specBuffs,Witch Hunter,Houndmaster,Рейндж/кастер,Attack Power %,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Cast Speed Slow,Cast Slow 30%,Спек,specDebuffs,Witch Hunter,Houndmaster,Рейндж/кастер,Cast Slow 30%,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Witch Hunter,Black Knight,Танк,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Witch Hunter,Black Knight,Танк,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Witch Hunter,Black Knight,Танк,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Shadow Resistance,Shadow,Класс,classResists,Witch Hunter,Black Knight,Танк,Shadow,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Replenishment,Replenishment,Спек,specBuffs,Witch Hunter,Black Knight,Танк,Replenishment,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Defensive Cooldown (Raid-Wide),Raid Wall (Divine Sac),Спек,specBuffs,Witch Hunter,Black Knight,Танк,Raid Wall (Divine Sac),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Cast Speed Slow,Cast Slow 30%,Спек,specDebuffs,Witch Hunter,Black Knight,Танк,Cast Slow 30%,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Witch Hunter,Black Knight,Танк,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Witch Hunter,Boltslinger,Рейндж/кастер,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Witch Hunter,Boltslinger,Рейндж/кастер,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Witch Hunter,Boltslinger,Рейндж/кастер,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Shadow Resistance,Shadow,Класс,classResists,Witch Hunter,Boltslinger,Рейндж/кастер,Shadow,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Critical Strike (all),All Crit (3%),Спек,specBuffs,Witch Hunter,Boltslinger,Рейндж/кастер,All Crit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Witch Hunter,Boltslinger,Рейндж/кастер,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Cast Speed Slow,Cast Slow 30%,Спек,specDebuffs,Witch Hunter,Boltslinger,Рейндж/кастер,Cast Slow 30%,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,Armor Reduction,% Armor Debuff,Спек,specDebuffs,Witch Hunter,Boltslinger,Рейндж/кастер,% Armor Debuff,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Small Resistances (all),Small All Resist,Класс,classBuffs,Stormbringer,Maelstrom,Рейндж/кастер,Small All Resist,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Stormbringer,Maelstrom,Рейндж/кастер,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Stormbringer,Maelstrom,Рейндж/кастер,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Concentration,Concentration,Класс,classBuffs,Stormbringer,Maelstrom,Рейндж/кастер,Concentration,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Nature Resistance,Nature,Класс,classResists,Stormbringer,Maelstrom,Рейндж/кастер,Nature,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Damage Done (all),All Damage Done (3%),Спек,specBuffs,Stormbringer,Maelstrom,Рейндж/кастер,All Damage Done (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,10% Spell Damage,Spell Dmg Taken (10%),Спек,specDebuffs,Stormbringer,Maelstrom,Рейндж/кастер,Spell Dmg Taken (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Stormbringer,Maelstrom,Рейндж/кастер,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Small Resistances (all),Small All Resist,Класс,classBuffs,Stormbringer,Lightning,Рейндж/кастер,Small All Resist,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Stormbringer,Lightning,Рейндж/кастер,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Stormbringer,Lightning,Рейндж/кастер,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Concentration,Concentration,Класс,classBuffs,Stormbringer,Lightning,Рейндж/кастер,Concentration,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Nature Resistance,Nature,Класс,classResists,Stormbringer,Lightning,Рейндж/кастер,Nature,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Critical Strike (all),All Crit (3%),Спек,specBuffs,Stormbringer,Lightning,Рейндж/кастер,All Crit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,3% Spell Critical Strike Chance,Spell Crit Taken Debuff (3%),Спек,specDebuffs,Stormbringer,Lightning,Рейндж/кастер,Spell Crit Taken Debuff (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
