Класс,Специализация,Тип,Аура A,ID A,Покрытие A,Аура B,ID B,Покрытие B,Совместных боёв,Совместимость,Боев со спеком,Статус наблюдения,Решение модели,Предупреждение
Felsworn,Infernal,DEBUFF,Sargeras Embrace,800355,0.2540983606557377,Curse of Argus,707511,0.13934426229508196,3,0.17647058823529413,122,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Felsworn,Infernal,DEBUFF,Felwrath,520832,0.19672131147540983,Curse of Argus,707511,0.13934426229508196,2,0.11764705882352941,122,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Felsworn,Infernal,BUFF,Slayer's Pact,803343,0.1721311475409836,Legionfel Pact,804764,0.12295081967213115,2,0.13333333333333333,122,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Felsworn,Slayer,DEBUFF,Fel Blades,300482,0.6666666666666666,Scars of Suffering,570159,0.25,0,0,36,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Felsworn,Slayer,DEBUFF,Whirling Vengeance,806096,0.6388888888888888,Scars of Suffering,570159,0.25,0,0,36,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Felsworn,Slayer,DEBUFF,Scars of Suffering,570159,0.25,Demonic Machinations,806112,0.1388888888888889,0,0,36,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Felsworn,Tyrant,BUFF,Greater Illidari Intuition,680308,0.3284671532846715,Betrayer,520256,0.19708029197080293,4,0.14814814814814814,137,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Felsworn,Tyrant,DEBUFF,Felbane,525001,0.1678832116788321,Fel Daze,707360,0.1386861313868613,3,0.15789473684210525,137,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Guardian,Inspiration,BUFF,Banner of Swiftness,800704,0.7741935483870968,Knight's Song,807460,0.20967741935483872,1,0.07692307692307693,62,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Guardian,Inspiration,BUFF,Champion's Presence,520835,0.43548387096774194,Knight's Song,807460,0.20967741935483872,1,0.07692307692307693,62,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Guardian,Inspiration,DEBUFF,Dissonance,803721,0.3387096774193548,Linebreaker,806220,0.25806451612903225,2,0.125,62,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Guardian,Inspiration,BUFF,Knight's Song,807460,0.20967741935483872,Standard of Recovery,500266,0.20967741935483872,1,0.07692307692307693,62,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Knight of Xoroth,War,BUFF,Greater Mark of Korth’azz,680300,0.2077922077922078,Greater Mark of Zeliek,803731,0.18181818181818182,5,0.17857142857142858,154,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Necromancer,Animation,BUFF,Greater Grim Mandate,572790,0.2972972972972973,Greater Foul Mandate,680286,0.24324324324324326,6,0.16666666666666666,148,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Necromancer,Rime,DEBUFF,Icecrown,706732,0.39285714285714285,Decaying Poison,805024,0.35714285714285715,4,0.2,56,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Necromancer,Rime,DEBUFF,Decaying Poison,805024,0.35714285714285715,Necrotic Chain,704860,0.19642857142857142,2,0.18181818181818182,56,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Necromancer,Rime,DEBUFF,Soulfreeze,801724,0.2857142857142857,Necrotic Chain,704860,0.19642857142857142,0,0,56,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Primalist,Wildwalker,DEBUFF,Bring Me Their Bones,806552,0.2857142857142857,Savage Rend,53580,0.14285714285714285,2,0.18181818181818182,77,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Primalist,Wildwalker,DEBUFF,Bring Me Their Bones,806552,0.2857142857142857,Blood for Hakkar!,312525,0.12987012987012986,0,0,77,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Primalist,Wildwalker,DEBUFF,Rexxar's Might,806562,0.24675324675324675,Blood for Hakkar!,312525,0.12987012987012986,2,0.2,77,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Primalist,Wildwalker,DEBUFF,Rake (Pet),59884,0.22077922077922077,Savage Rend,53580,0.14285714285714285,0,0,77,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Primalist,Wildwalker,DEBUFF,Rake (Pet),59884,0.22077922077922077,Blood for Hakkar!,312525,0.12987012987012986,0,0,77,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Primalist,Wildwalker,DEBUFF,Savage Rend,53580,0.14285714285714285,Blood for Hakkar!,312525,0.12987012987012986,2,0.2,77,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Reaper,Harvest,DEBUFF,Darkrend Scythe,704256,0.3879310344827586,Shudder Scythe,572382,0.33620689655172414,6,0.15384615384615385,116,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Reaper,Harvest,DEBUFF,Darkrend Scythe,704256,0.3879310344827586,Blood Frenzy,803039,0.31896551724137934,6,0.16216216216216217,116,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Stormbringer,Maelstrom,DEBUFF,Geyser,680352,0.5416666666666666,Stormfury,532751,0.25,0,0,24,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Stormbringer,Maelstrom,DEBUFF,Stormcloud,801859,0.5416666666666666,Stormfury,532751,0.25,0,0,24,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Sun Cleric,Seraphim,DEBUFF,Solar Eclipse,704931,0.42424242424242425,Thunder Clap,13532,0.12121212121212122,0,0,33,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Templar,Crusader,BUFF,Tithe of Courage,804820,0.3727810650887574,Tithe of Liberty,804815,0.1301775147928994,0,0,169,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Templar,Crusader,BUFF,Tithe of Crusading,804782,0.1301775147928994,Tithe of Liberty,804815,0.1301775147928994,0,0,169,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Tinker,Mechanics,DEBUFF,Blazewrought Sunder,681307,0.44,Sprocket Zap!,805657,0.3466666666666667,5,0.19230769230769232,75,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Venomancer,Fortitude,BUFF,Greater Beetle Pheromones,803657,0.4583333333333333,Greater Spider Pheromones,680312,0.125,1,0.08333333333333333,96,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Witch Doctor,Brewing,BUFF,Big Bad Voodoo,802719,0.40186915887850466,Greater Spirit Wuju,680872,0.34579439252336447,6,0.16216216216216217,107,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
