Класс,Специализация,Тип,Фактическая аура,Spell ID,Боев со спеком,Боев с аурой,Покрытие,Специфичность,Охват игроков,Босс-цель,Наблюдаемый тип,Событий от спека,Ранг
Barbarian,Headhunting,DEBUFF,Berserker Axe,561020,25,19,0.76,1,0,1,boss_debuff,3025,4
Barbarian,Headhunting,DEBUFF,Rapid Throw,807482,25,3,0.12,1,0,1,boss_debuff,137,5
Bloodmage,Accursed,DEBUFF,Marrowbite,504553,14,14,1,1,0,1,boss_debuff,577,1
Bloodmage,Accursed,DEBUFF,Dark Embrace,804854,14,14,1,1,0,1,boss_debuff,102,2
Bloodmage,Accursed,DEBUFF,Bloodshards,504741,14,7,0.5,1,0,1,boss_debuff,1560,3
Bloodmage,Accursed,DEBUFF,Hematoma,803392,14,5,0.35714285714285715,1,0,1,boss_debuff,1561,4
Bloodmage,Accursed,DEBUFF,Crimson Maw,803391,14,5,0.35714285714285715,1,0,1,boss_debuff,101,5
Bloodmage,Eternal,DEBUFF,Festering Maw,706654,66,66,1,0.8958333333333334,0,1,boss_debuff,5762,1
Bloodmage,Eternal,DEBUFF,Rotclaw,503484,66,64,0.9696969696969697,1,0,1,boss_debuff,4478,2
Bloodmage,Eternal,BUFF,Blood Trail,804857,66,56,0.8484848484848485,0.550142170638022,0.8333333333333334,1,raid_buff,66170,3
Bloodmage,Eternal,DEBUFF,Bare Fangs,801957,66,52,0.7878787878787878,1,0,0.9615384615384616,boss_debuff,406,4
Bloodmage,Eternal,DEBUFF,Hypovolemic Shock,572412,66,23,0.3484848484848485,0.7668711656441718,0,1,boss_debuff,125,5
Bloodmage,Eternal,DEBUFF,Blood Howl,800782,66,14,0.21212121212121213,1,0,1,boss_debuff,63,6
Bloodmage,Eternal,BUFF,Shadow Howl,806177,66,11,0.16666666666666666,1,0.65,0,limited,728,7
Bloodmage,Fleshweaver,DEBUFF,Vampyr's Kiss,504281,112,109,0.9732142857142857,1,0,1,boss_debuff,1295,1
Bloodmage,Fleshweaver,DEBUFF,Infuse,681403,112,106,0.9464285714285714,1,0,1,boss_debuff,32605,2
Bloodmage,Fleshweaver,BUFF,Excess Blood,504101,112,106,0.9464285714285714,1,0.7655677655677655,0,raid_buff,14335,3
Bloodmage,Fleshweaver,DEBUFF,Sanguine Essence,681399,112,103,0.9196428571428571,1,0,0.970873786407767,boss_debuff,5201,4
Bloodmage,Fleshweaver,DEBUFF,Crimson Tide,504134,112,94,0.8392857142857143,1,0,0.9893617021276596,boss_debuff,4101,5
Bloodmage,Fleshweaver,BUFF,Fleshbending,582766,112,84,0.75,1,1,0,raid_buff,176076,6
Bloodmage,Fleshweaver,BUFF,Greater Bloodthorns,572116,112,83,0.7410714285714286,0.6116734143049932,0.9545454545454546,0,raid_buff,1813,7
Bloodmage,Fleshweaver,BUFF,Dark Essence,681036,112,81,0.7232142857142857,1,0.9565217391304348,0,raid_buff,67010,8
Bloodmage,Fleshweaver,DEBUFF,Cursed Blood,803722,112,79,0.7053571428571429,0.9994627988181574,0,1,boss_debuff,7442,9
Bloodmage,Fleshweaver,BUFF,Red Thirst,520493,112,79,0.7053571428571429,1,1,0,raid_buff,3492,10
Bloodmage,Fleshweaver,BUFF,Blood-Cursed Weapons,685029,112,74,0.6607142857142857,1,1,0,raid_buff,83822,11
Bloodmage,Fleshweaver,BUFF,Universal Donor,704238,112,72,0.6428571428571429,1,1,0,raid_buff,47969,12
Bloodmage,Fleshweaver,BUFF,Arterial Bind,681082,112,46,0.4107142857142857,1,0.6809090909090909,0,limited,3103,13
Bloodmage,Fleshweaver,BUFF,Blood Veil,572279,112,37,0.33035714285714285,0.8728191000918274,0.25,0,limited,1901,14
Bloodmage,Fleshweaver,BUFF,Heartbreak,807563,112,33,0.29464285714285715,1,1,0,raid_buff,12839,15
Bloodmage,Fleshweaver,BUFF,Greater Bloodsoaked Offering,572404,112,29,0.25892857142857145,0.5841584158415841,1,0,raid_buff,590,16
Bloodmage,Sanguine,DEBUFF,Bloodsore,805592,33,33,1,1,0,1,boss_debuff,5469,1
Bloodmage,Sanguine,DEBUFF,Blood Parasites,800988,33,33,1,1,0,1,boss_debuff,719,2
Bloodmage,Sanguine,DEBUFF,Malediction,704120,33,33,1,1,0,1,boss_debuff,470,3
Bloodmage,Sanguine,DEBUFF,Cardiac Arrest,806946,33,29,0.8787878787878788,1,0,1,boss_debuff,1201,4
Bloodmage,Sanguine,DEBUFF,Atherann's Anguish,680680,33,25,0.7575757575757576,1,0,1,boss_debuff,3350,5
Bloodmage,Sanguine,DEBUFF,Agonizing Pain,680744,33,4,0.12121212121212122,1,0,1,boss_debuff,12,6
Chronomancer,Artificer,DEBUFF,Elder Wand,560128,91,91,1,1,0,1,boss_debuff,39827,1
Chronomancer,Artificer,DEBUFF,Artificer's Wand,561357,91,91,1,1,0,1,boss_debuff,26322,2
Chronomancer,Artificer,DEBUFF,Crystal Cannon,704481,91,91,1,1,0,1,boss_debuff,6977,3
Chronomancer,Artificer,DEBUFF,Past Mistakes,520043,91,86,0.945054945054945,0.6936936936936937,0,1,boss_debuff,462,4
Chronomancer,Artificer,DEBUFF,Decomposition,802597,91,85,0.9340659340659341,0.6161178509532063,0,1,boss_debuff,1422,5
Chronomancer,Artificer,DEBUFF,Magic Sensitivity,520177,91,78,0.8571428571428571,1,0,1,boss_debuff,1270,6
Chronomancer,Artificer,BUFF,Greater Chromie's Wisdom,680307,91,70,0.7692307692307693,0.5040721349621873,1,0,raid_buff,1733,7
Chronomancer,Artificer,DEBUFF,Thread of Eternity,572127,91,21,0.23076923076923078,1,0,1,boss_debuff,631,8
Chronomancer,Infinite,DEBUFF,Time Means Nothing,572405,38,38,1,1,0,1,boss_debuff,8623,1
Chronomancer,Infinite,DEBUFF,Unmake,574345,38,38,1,0.9953307392996109,0,1,boss_debuff,7674,2
Chronomancer,Infinite,DEBUFF,Timerend,572578,38,38,1,1,0,1,boss_debuff,1348,3
Chronomancer,Infinite,DEBUFF,Mind Melt,572851,38,36,0.9473684210526315,1,0,1,boss_debuff,3308,4
Chronomancer,Infinite,DEBUFF,Melt Reality,572835,38,36,0.9473684210526315,1,0,1,boss_debuff,513,5
Chronomancer,Infinite,DEBUFF,Time Loop,807571,38,22,0.5789473684210527,1,0,1,boss_debuff,668,6
Chronomancer,Infinite,DEBUFF,Magic Erosion,570060,38,22,0.5789473684210527,1,0,0.8636363636363636,boss_debuff,288,7
Chronomancer,Infinite,DEBUFF,Gravity Bomb,801281,38,20,0.5263157894736842,0.5957446808510638,0,1,boss_debuff,112,8
Chronomancer,Infinite,DEBUFF,Destabilize Time,680971,38,5,0.13157894736842105,1,0,1,boss_debuff,38,9
Chronomancer,Time,BUFF,Accelerated Recovery,501777,56,55,0.9821428571428571,0.9892644623029262,0.9047619047619048,0,raid_buff,16126,1
Chronomancer,Time,BUFF,Mark of Order,806269,56,48,0.8571428571428571,1,1,0,raid_buff,120127,2
Chronomancer,Time,BUFF,Renewal,560355,56,36,0.6428571428571429,1,0.4160839160839161,0,limited,1840,3
Chronomancer,Time,BUFF,Rippling Protection,560394,56,25,0.44642857142857145,1,0.76,0,raid_buff,4825,4
Chronomancer,Time,BUFF,Protection,560374,56,25,0.44642857142857145,1,0.44,0,limited,3222,5
Chronomancer,Time,BUFF,The Vast Infinite,706083,56,23,0.4107142857142857,1,1,0,raid_buff,1202,6
Chronomancer,Time,BUFF,Resilience,560373,56,19,0.3392857142857143,1,0.375,0,limited,1117,7
Chronomancer,Time,BUFF,Rippling Resilience,560396,56,11,0.19642857142857142,1,0.9047619047619048,0,raid_buff,1545,8
Chronomancer,Time,BUFF,Overcorrection,561231,56,10,0.17857142857142858,1,0.9183333333333333,0,raid_buff,2052,9
Cultist,Corruption,DEBUFF,Unrelenting Void,706908,11,11,1,1,0,1,boss_debuff,1649,1
Cultist,Corruption,DEBUFF,Darkwither,502220,11,11,1,1,0,1,boss_debuff,237,2
Cultist,Corruption,DEBUFF,Yawning Decay,706910,11,9,0.8181818181818182,1,0,1,boss_debuff,347,3
Cultist,Corruption,DEBUFF,Psychic Suppression,800432,11,2,0.18181818181818182,1,0,1,boss_debuff,7,4
Cultist,Dreadnought,DEBUFF,Test of Pride,804412,31,21,0.6774193548387096,1,0,0.8571428571428571,boss_debuff,271,1
Cultist,Dreadnought,DEBUFF,Horrifying Presence,500723,31,18,0.5806451612903226,1,0,0.9444444444444444,boss_debuff,306,2
Cultist,Dreadnought,DEBUFF,Eldritch Force,680576,31,8,0.25806451612903225,1,0,1,boss_debuff,208,3
Cultist,Dreadnought,DEBUFF,Sermon of Dread,620614,31,8,0.25806451612903225,0.8316831683168316,0,0.625,limited,336,4
Cultist,Godblade,DEBUFF,Touch of the Void,572046,174,171,0.9827586206896551,1,0,0.9883040935672515,boss_debuff,17872,1
Cultist,Godblade,DEBUFF,Withered,520418,174,166,0.9540229885057471,0.6062756497948016,0,1,boss_debuff,7091,2
Cultist,Godblade,DEBUFF,Black Prayer,806039,174,166,0.9540229885057471,0.6662248955041289,0,1,boss_debuff,6535,3
Cultist,Godblade,DEBUFF,Rift,807848,174,165,0.9482758620689655,1,0,0.9878787878787879,boss_debuff,23017,4
Cultist,Godblade,DEBUFF,Mental Assault,801151,174,160,0.9195402298850575,0.5932055114092003,0,0.98125,boss_debuff,16274,5
Cultist,Godblade,BUFF,Vision of Doom,520497,174,152,0.8735632183908046,0.8383332189194755,0.4090909090909091,0,limited,12212,6
Cultist,Godblade,DEBUFF,Vision of Doom,520450,174,151,0.867816091954023,0.8136333109469442,0,0.9139072847682119,boss_debuff,4846,7
Cultist,Godblade,BUFF,Greater Whispers of C'thun,573067,174,85,0.4885057471264368,0.5412869373101353,1,0,raid_buff,1960,8
Cultist,Heretic,BUFF,Void-Touched,301982,166,166,1,1,0.9615384615384616,0,raid_buff,90501,1
Cultist,Heretic,BUFF,Black Blood,804153,166,164,0.9879518072289156,1,0.6172161172161172,0,limited,37666,2
Cultist,Heretic,BUFF,Forbidden Ritual,502273,166,153,0.9216867469879518,1,0.9545454545454546,0,raid_buff,68181,3
Cultist,Heretic,BUFF,Void Shield,578115,166,140,0.8433734939759037,0.9666053165853936,0.76,0,raid_buff,50943,4
Cultist,Heretic,BUFF,Crystalline Reflection,525067,166,77,0.463855421686747,0.9568162574089755,0.52,0,limited,5650,5
Cultist,Heretic,BUFF,Dark Infusion,570266,166,76,0.4578313253012048,1,0.84,0,raid_buff,16266,6
Cultist,Heretic,BUFF,Tentacle of Yogg-Saron,802045,166,66,0.39759036144578314,0.9078639744952178,0.8775,0.9242424242424242,raid_buff,34172,7
Felsworn,Infernal,DEBUFF,Felstrike,802678,122,122,1,1,0,1,boss_debuff,21799,1
Felsworn,Infernal,DEBUFF,Ruin,805748,122,122,1,0.6905020786696514,0,1,boss_debuff,10796,2
Felsworn,Infernal,DEBUFF,Bane of Fire,707901,122,105,0.860655737704918,0.9504632929436921,0,1,boss_debuff,2667,3
Felsworn,Infernal,BUFF,Greater Man'ari Intuition,523495,122,96,0.7868852459016393,0.7860847018150389,0.8076923076923077,0,raid_buff,1819,4
Felsworn,Infernal,DEBUFF,Felshock,572792,122,86,0.7049180327868853,1,0,0.8604651162790697,boss_debuff,8655,5
Felsworn,Infernal,DEBUFF,Sargeras Embrace,800355,122,31,0.2540983606557377,1,0,0.9032258064516129,boss_debuff,241,6
Felsworn,Infernal,DEBUFF,Bane of Chaos,706420,122,29,0.23770491803278687,1,0,0.9655172413793104,boss_debuff,514,7
Felsworn,Infernal,DEBUFF,Felwrath,520832,122,24,0.19672131147540983,1,0,0.875,boss_debuff,7970,8
Felsworn,Infernal,BUFF,Slayer's Pact,803343,122,21,0.1721311475409836,0.6061658706035605,0.782608695652174,0,raid_buff,1396,9
Felsworn,Infernal,DEBUFF,Curse of Argus,707511,122,17,0.13934426229508196,1,0,0.9411764705882353,boss_debuff,993,10
Felsworn,Infernal,BUFF,Legionfel Pact,804764,122,15,0.12295081967213115,0.9189814814814815,0.9583333333333334,0,raid_buff,794,11
Felsworn,Slayer,DEBUFF,Fel Blades,300482,36,24,0.6666666666666666,1,0,1,boss_debuff,1534,1
Felsworn,Slayer,DEBUFF,Whirling Vengeance,806096,36,23,0.6388888888888888,1,0,1,boss_debuff,157,2
Felsworn,Slayer,DEBUFF,Scars of Suffering,570159,36,9,0.25,1,0,1,boss_debuff,420,3
Felsworn,Slayer,DEBUFF,Demonic Machinations,806112,36,5,0.1388888888888889,1,0,1,boss_debuff,52,4
Felsworn,Tyrant,DEBUFF,Doomscar,563271,137,108,0.7883211678832117,1,0,1,boss_debuff,15516,1
Felsworn,Tyrant,DEBUFF,Expose,300475,137,103,0.7518248175182481,1,0,1,boss_debuff,23649,2
Felsworn,Tyrant,DEBUFF,Bane of Frailty,707903,137,82,0.5985401459854015,0.8083700440528634,0,0.9878048780487805,boss_debuff,367,3
Felsworn,Tyrant,DEBUFF,Carve,578317,137,71,0.5182481751824818,1,0,1,boss_debuff,5704,4
Felsworn,Tyrant,DEBUFF,Sunder,556503,137,66,0.48175182481751827,0.6429548563611491,0,1,boss_debuff,7990,5
Felsworn,Tyrant,BUFF,Illidari Barrier,300469,137,55,0.40145985401459855,0.8723965565120799,0.8181818181818182,0,raid_buff,12566,6
Felsworn,Tyrant,DEBUFF,Betray,804220,137,50,0.36496350364963503,1,0,0.86,boss_debuff,580,7
Felsworn,Tyrant,BUFF,Vengeful Pact,803885,137,47,0.34306569343065696,0.718153251148175,0.9583333333333334,0,raid_buff,2971,8
Felsworn,Tyrant,BUFF,Greater Illidari Intuition,680308,137,45,0.3284671532846715,0.6489563567362429,0.9642857142857143,0,raid_buff,1026,9
Felsworn,Tyrant,BUFF,Betrayer,520256,137,27,0.19708029197080293,1,0.782608695652174,0,raid_buff,12843,10
Felsworn,Tyrant,DEBUFF,Felbane,525001,137,23,0.1678832116788321,0.5789473684210527,0,0.7391304347826086,boss_debuff,66,11
Felsworn,Tyrant,BUFF,Infernal Whipcrack,805243,137,23,0.1678832116788321,1,0.6538461538461539,0,limited,1372,12
Felsworn,Tyrant,DEBUFF,Fel Daze,707360,137,19,0.1386861313868613,1,0,1,boss_debuff,1053,13
Felsworn,Tyrant,DEBUFF,Fel Torpedo,500762,137,15,0.10948905109489052,1,0,0.8666666666666667,boss_debuff,936,14
Guardian,Gladiator,DEBUFF,Deadly Blow,706808,33,33,1,1,0,1,boss_debuff,2366,1
Guardian,Gladiator,BUFF,Standard of Supremacy,500299,33,30,0.9090909090909091,0.5077419354838709,0.2,0,limited,787,2
Guardian,Gladiator,DEBUFF,Battle Rush,501548,33,26,0.7878787878787878,0.6802721088435374,0,0.8846153846153846,boss_debuff,200,3
Guardian,Gladiator,DEBUFF,Grand Entrance,802874,33,21,0.6363636363636364,0.844776119402985,0,1,boss_debuff,566,4
Guardian,Gladiator,DEBUFF,Broad Sweep,504182,33,12,0.36363636363636365,0.821917808219178,0,0.8333333333333334,boss_debuff,780,5
Guardian,Inspiration,BUFF,Hero's March,803524,62,62,1,1,0.845,0,raid_buff,32476,1
Guardian,Inspiration,DEBUFF,Peril,524610,62,58,0.9354838709677419,0.5444339703487874,0,1,boss_debuff,12706,2
Guardian,Inspiration,DEBUFF,Glorious Arena,300983,62,58,0.9354838709677419,0.54634487583071,0,1,boss_debuff,1562,3
Guardian,Inspiration,BUFF,Banner of Conquest,500264,62,52,0.8387096774193549,1,1,0,raid_buff,73697,4
Guardian,Inspiration,BUFF,Echoes of War,801778,62,50,0.8064516129032258,1,0.98,0,raid_buff,153797,5
Guardian,Inspiration,BUFF,Banner of Swiftness,800704,62,48,0.7741935483870968,1,1,0,raid_buff,69851,6
Guardian,Inspiration,DEBUFF,Harrowing Melody,572821,62,46,0.7419354838709677,1,0,1,boss_debuff,1382,7
Guardian,Inspiration,BUFF,Song of Steel,706410,62,43,0.6935483870967742,1,1,0,raid_buff,19832,8
Guardian,Inspiration,DEBUFF,Ballad of the Dragonslayer,574364,62,37,0.5967741935483871,1,0,0.7567567567567568,boss_debuff,2482,9
Guardian,Inspiration,BUFF,Frontliner,505198,62,32,0.5161290322580645,1,1,0,raid_buff,140464,10
Guardian,Inspiration,BUFF,Champion's Presence,520835,62,27,0.43548387096774194,1,1,0,raid_buff,905,11
Guardian,Inspiration,DEBUFF,Dissonance,803721,62,21,0.3387096774193548,1,0,1,boss_debuff,1440,12
Guardian,Inspiration,DEBUFF,Linebreaker,806220,62,16,0.25806451612903225,0.5590551181102362,0,1,boss_debuff,71,13
Guardian,Inspiration,BUFF,Knight's Song,807460,62,13,0.20967741935483872,1,1,0,raid_buff,57884,14
Guardian,Inspiration,BUFF,Standard of Recovery,500266,62,13,0.20967741935483872,0.7957559681697612,1,0,raid_buff,2100,15
Guardian,Vanguard,DEBUFF,Bring Down The Hammer!,705380,27,27,1,1,0,1,boss_debuff,1508,1
Guardian,Vanguard,DEBUFF,Shield Challenge,500257,27,23,0.8518518518518519,0.9958419958419958,0,0.9130434782608695,boss_debuff,479,2
Guardian,Vanguard,DEBUFF,Order In The Court,704417,27,16,0.5925925925925926,1,0,1,boss_debuff,760,3
Guardian,Vanguard,DEBUFF,Valorous Strikes,572714,27,15,0.5555555555555556,1,0,0.8666666666666667,boss_debuff,138,4
Guardian,Vanguard,DEBUFF,Unyielding Stand,500269,27,14,0.5185185185185185,0.9722222222222222,0,1,boss_debuff,70,5
Knight of Xoroth,Defiance,DEBUFF,Dread Knight,572860,16,13,0.8125,1,0,1,boss_debuff,2411,1
Knight of Xoroth,Defiance,DEBUFF,Torn Flesh,800341,16,12,0.75,1,0,1,boss_debuff,798,2
Knight of Xoroth,Defiance,BUFF,Abyssal Aura,302580,16,10,0.625,1,1,0,raid_buff,7767,3
Knight of Xoroth,Defiance,DEBUFF,Curse of Xoroth,804169,16,8,0.5,1,0,0.875,boss_debuff,32,4
Knight of Xoroth,Defiance,DEBUFF,Snarl,800169,16,8,0.5,0.9016393442622951,0,0.75,boss_debuff,110,5
Knight of Xoroth,Defiance,DEBUFF,Demolished,807522,16,5,0.3125,1,0,0.6,limited,48,6
Knight of Xoroth,Defiance,BUFF,Legion's Presence,804879,16,3,0.1875,1,0.7272727272727273,0,raid_buff,497,7
Knight of Xoroth,Hellfire,DEBUFF,Pestilence of Apocalypse,804801,78,71,0.9102564102564102,0.9999295576218653,0.8666666666666667,1,boss_debuff,56780,1
Knight of Xoroth,Hellfire,DEBUFF,Unleash Apocalypse,560817,78,70,0.8974358974358975,1,0,0.9857142857142858,boss_debuff,3656,2
Knight of Xoroth,Hellfire,DEBUFF,Doom,802608,78,68,0.8717948717948718,1,0,1,boss_debuff,4410,3
Knight of Xoroth,Hellfire,DEBUFF,Burst,520666,78,67,0.8589743589743589,1,0,1,boss_debuff,1771,4
Knight of Xoroth,Hellfire,DEBUFF,Hellmaw,573336,78,56,0.717948717948718,1,0,1,boss_debuff,1208,5
Knight of Xoroth,Hellfire,DEBUFF,Flames of Xoroth,573448,78,28,0.358974358974359,0.8091639111950873,0,1,boss_debuff,3426,6
Knight of Xoroth,Hellfire,DEBUFF,Seething Strikes,681268,78,26,0.3333333333333333,1,0,1,boss_debuff,300,7
Knight of Xoroth,Hellfire,DEBUFF,Rain of Chaos,801006,78,25,0.32051282051282054,1,0,1,boss_debuff,3713,8
Knight of Xoroth,War,DEBUFF,Rampant,680979,154,154,1,1,0,1,boss_debuff,15369,1
Knight of Xoroth,War,DEBUFF,Unleash Death,801055,154,148,0.961038961038961,1,0,1,boss_debuff,15622,2
Knight of Xoroth,War,DEBUFF,Conqueror's Will,520542,154,123,0.7987012987012987,1,0,0.9105691056910569,boss_debuff,2875,3
Knight of Xoroth,War,DEBUFF,Melt,803334,154,91,0.5909090909090909,0.7904869762174406,0,0.989010989010989,boss_debuff,698,4
Knight of Xoroth,War,DEBUFF,Dismemberment,705019,154,81,0.525974025974026,0.5279145281240181,0,1,boss_debuff,5040,5
Knight of Xoroth,War,DEBUFF,Warbringer,803240,154,40,0.2597402597402597,1,0,0.675,limited,4982,6
Knight of Xoroth,War,DEBUFF,Chains of Malice,803185,154,35,0.22727272727272727,0.7126436781609196,0,0.6857142857142857,limited,124,7
Knight of Xoroth,War,BUFF,Greater Mark of Korth’azz,680300,154,32,0.2077922077922078,0.7657822506861848,1,0,raid_buff,837,8
Knight of Xoroth,War,BUFF,Greater Mark of Zeliek,803731,154,28,0.18181818181818182,0.794392523364486,0.925,0,raid_buff,595,9
Necromancer,Animation,DEBUFF,Crypt Swarm,501886,148,148,1,0.9724602712372078,0,1,boss_debuff,11688,1
Necromancer,Animation,DEBUFF,Harvest Plague,583256,148,126,0.8513513513513513,0.8867757629367536,0,1,boss_debuff,2005,2
Necromancer,Animation,DEBUFF,Blight,500459,148,108,0.7297297297297297,0.808303886925795,0,1,boss_debuff,1830,3
Necromancer,Animation,DEBUFF,Bone Toss,704706,148,101,0.6824324324324325,1,0,0.8514851485148515,boss_debuff,1386,4
Necromancer,Animation,BUFF,Greater Chill of the Tomb,572177,148,98,0.6621621621621622,0.7541958041958042,0.957427536231884,0,raid_buff,2157,5
Necromancer,Animation,BUFF,Greater Razorice,572214,148,96,0.6486486486486487,0.9298654652005419,0.9083333333333333,0,raid_buff,29513,6
Necromancer,Animation,DEBUFF,Frost Breath,807097,148,76,0.5135135135135135,0.7370147621651175,0,1,boss_debuff,1348,7
Necromancer,Animation,BUFF,Greater Grim Mandate,572790,148,44,0.2972972972972973,0.6349557522123894,0.3507692307692308,0,limited,574,8
Necromancer,Animation,DEBUFF,Death's Due,807796,148,42,0.28378378378378377,0.678082191780822,0,0.9761904761904762,boss_debuff,99,9
Necromancer,Animation,BUFF,Greater Foul Mandate,680286,148,36,0.24324324324324326,0.9378378378378378,0.9166666666666666,0,raid_buff,694,10
Necromancer,Animation,DEBUFF,Fetid Mark,706949,148,15,0.10135135135135136,1,0,0.9333333333333333,boss_debuff,3060,11
Necromancer,Death,DEBUFF,Crypt Plague,570131,3,3,1,1,0.041666666666666664,1,boss_debuff,889,1
Necromancer,Death,DEBUFF,Flesh to Worms,501861,3,3,1,1,0.041666666666666664,1,boss_debuff,324,2
Necromancer,Death,DEBUFF,Expunge,573233,3,3,1,1,0,1,boss_debuff,261,3
Necromancer,Death,DEBUFF,Festering Decay,806325,3,3,1,1,0,1,boss_debuff,249,4
Necromancer,Death,DEBUFF,Plague of Undeath,503640,3,3,1,1,0.041666666666666664,1,boss_debuff,108,5
Necromancer,Death,DEBUFF,Lichplague,802132,3,3,1,1,0.041666666666666664,1,boss_debuff,53,6
Necromancer,Death,DEBUFF,Parasites,560729,3,2,0.6666666666666666,1,0,1,boss_debuff,107,7
Necromancer,Rime,DEBUFF,Frozen,804328,56,56,1,1,0,1,boss_debuff,2078,1
Necromancer,Rime,DEBUFF,Ice Barrage,501997,56,56,1,1,0,0.9821428571428571,boss_debuff,2208,2
Necromancer,Rime,DEBUFF,Icecrown,706732,56,22,0.39285714285714285,1,0,0.8636363636363636,boss_debuff,1446,3
Necromancer,Rime,DEBUFF,Decaying Poison,805024,56,20,0.35714285714285715,1,0,1,boss_debuff,3710,4
Necromancer,Rime,DEBUFF,Soulfreeze,801724,56,16,0.2857142857142857,1,0,1,boss_debuff,1035,5
Necromancer,Rime,DEBUFF,Necrotic Chain,704860,56,11,0.19642857142857142,1,0,1,boss_debuff,381,6
Primalist,Geomancy,DEBUFF,Terrasurge,573070,26,23,0.8846153846153846,1,0,1,boss_debuff,308,1
Primalist,Geomancy,DEBUFF,Seismic Tremor,681114,26,23,0.8846153846153846,1,0,1,boss_debuff,261,2
Primalist,Geomancy,DEBUFF,Eruption,802335,26,17,0.6538461538461539,1,0,1,boss_debuff,258,3
Primalist,Grovekeeper,BUFF,Ancient of War,504222,174,157,0.9022988505747126,1,0.2,0,limited,17402,1
Primalist,Grovekeeper,BUFF,Sacred Grove,800186,174,147,0.8448275862068966,1,0.9615384615384616,0.013605442176870748,raid_buff,23638,2
Primalist,Grovekeeper,BUFF,Immune Stun/Disorient/Polymorph,803725,174,147,0.8448275862068966,0.9957518022657055,0.6956521739130435,0,limited,7735,3
Primalist,Grovekeeper,BUFF,Immune Sap/Knockout/Charm,807636,174,147,0.8448275862068966,0.9957518022657055,0.6956521739130435,0,limited,7735,4
Primalist,Grovekeeper,DEBUFF,Bioerosion,575848,174,146,0.8390804597701149,1,0,1,boss_debuff,16096,5
Primalist,Grovekeeper,BUFF,Nature's Blessing,807561,174,144,0.8275862068965517,1,0.75,0,raid_buff,44374,6
Primalist,Grovekeeper,DEBUFF,Earthquake,520745,174,142,0.8160919540229885,0.8103818295627292,0,1,boss_debuff,18125,7
Primalist,Grovekeeper,DEBUFF,Geode Barrage,502776,174,140,0.8045977011494253,0.6462211035305028,0,0.9714285714285714,boss_debuff,9756,8
Primalist,Grovekeeper,DEBUFF,Grove Guardian,504825,174,139,0.7988505747126436,0.7092913924267031,0,1,boss_debuff,8298,9
Primalist,Grovekeeper,BUFF,Grove Guardian,505208,174,139,0.7988505747126436,0.7096450413820675,0.9130434782608695,0,raid_buff,83428,10
Primalist,Grovekeeper,BUFF,Infused With Power,503719,174,135,0.7758620689655172,1,1,0,raid_buff,210260,11
