Категория,Эффект,Уровень,Класс,Специализация,Роль,Фактическая аура,Spell ID,Возможностей,Встречено,Покрытие,Специфичность,Охват игроков,Босс-цель,Уверенность,Балл,Статус модели,Значение базы,Примечание
Утилити-бафы,3% Critical Strike (all),Спек,Barbarian,Headhunting,Рейндж/кастер,Berserker Aura,560543,25,25,1,0.22291666666666668,0.7,0,Средняя,0.6877291666666667,На проверку,All Crit (3%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические бафы,5% Attack Power,Спек,Barbarian,Headhunting,Рейндж/кастер,Berserker Aura,560543,25,25,1,0.22291666666666668,0.7,0,Средняя,0.6877291666666667,На проверку,Attack Power %,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические дебафы,30% Bleed Damage,Спек,Barbarian,Headhunting,Рейндж/кастер,Puncture Wound,804143,25,25,1,1,0,1,Высокая,0.9,На проверку,Bleed Dmg Taken (30%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Healing Reduction,Спек,Barbarian,Headhunting,Рейндж/кастер,Puncture Wound,804143,25,25,1,1,0,1,Высокая,0.9,На проверку,Healing Reduc (30-50%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,Small Resistances (all),Класс,Witch Doctor,Все специализации класса,Рейндж/кастер; Хилер,Splash Potion: Jungle Shrooms,803698,190,107,0.5631578947368421,1,0.782608695652174,0,Высокая,0.8053333333333333,На проверку,Small All Resist,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,Intellect,Класс,Witch Doctor,Все специализации класса,Рейндж/кастер; Хилер,Splash Potion: Jungle Shrooms,803698,190,107,0.5631578947368421,1,0.782608695652174,0,Высокая,0.8053333333333333,На проверку,Flat Intellect,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,Spirit,Класс,Witch Doctor,Все специализации класса,Рейндж/кастер; Хилер,Splash Potion: Jungle Shrooms,803698,190,107,0.5631578947368421,1,0.782608695652174,0,Высокая,0.8053333333333333,На проверку,Flat Spirit,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,Mana Regeneration,Класс,Witch Doctor,Все специализации класса,Рейндж/кастер; Хилер,Splash Potion: Jungle Shrooms,803698,190,107,0.5631578947368421,1,0.782608695652174,0,Высокая,0.8053333333333333,На проверку,Mp5,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,5% Resource Reduction,Класс,Witch Doctor,Все специализации класса,Рейндж/кастер; Хилер,Greater Resourceful Wuju,800195,190,88,0.4631578947368421,1,0.9591666666666667,0,Высокая,0.8546666666666667,На проверку,Cost Reduction (5%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Cast Speed Slow,Класс,Witch Doctor,Все специализации класса,Рейндж/кастер; Хилер,Hex of Malice,504608,190,166,0.8736842105263158,1,0,1,Высокая,0.9,На проверку,Cast Slow 30%,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические бафы,10% Melee & Range Haste,Спек,Witch Doctor,Shadowhunting,Рейндж/кастер,Berserking,705926,89,88,0.9887640449438202,0.986422708618331,0.05,0,Средняя,0.6446056771545827,На проверку,Melee/Range Haste (10%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,3% Spell Haste,Спек,Witch Doctor,Shadowhunting,Рейндж/кастер,Berserking,705926,89,88,0.9887640449438202,0.986422708618331,0.05,0,Средняя,0.6446056771545827,На проверку,Spell Haste (3%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические бафы,5% Attack Power,Спек,Witch Doctor,Shadowhunting,Рейндж/кастер,Berserking,705926,89,88,0.9887640449438202,0.986422708618331,0.05,0,Средняя,0.6446056771545827,На проверку,Attack Power %,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Магические дебафы,Resistance Reduction,Спек,Witch Doctor,Shadowhunting,Рейндж/кастер,Eye of Kimbul,802707,89,89,1,1,0,1,Высокая,0.9,На проверку,Resistance REDUCTION,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,3% Spell Haste,Спек,Witch Doctor,Voodoo,Рейндж/кастер,Born in Blood,560521,74,49,0.6621621621621622,0.012270852258343137,1,0,Средняя,0.6085632085600814,На проверку,Spell Haste (3%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,3% Damage Done (all),Спек,Witch Doctor,Voodoo,Рейндж/кастер,Born in Blood,560521,74,49,0.6621621621621622,0.012270852258343137,1,0,Средняя,0.6085632085600814,На проверку,All Damage Done (3%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Attack Speed Slow,Спек,Witch Doctor,Voodoo,Рейндж/кастер,Puppeteer’s Threads,572836,74,74,1,1,0,1,Высокая,0.9,На проверку,Attack Speed (Slow),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Магические дебафы,Resistance Reduction,Спек,Witch Doctor,Voodoo,Рейндж/кастер,Puppeteer’s Threads,572836,74,74,1,1,0,1,Высокая,0.9,На проверку,Resistance REDUCTION,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,3% Spell Haste,Спек,Witch Doctor,Brewing,Хилер,Splash Potion: Jungle Shrooms,803698,107,107,1,1,0.782608695652174,0,Высокая,0.9,На проверку,Spell Haste (3%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,Replenishment,Спек,Witch Doctor,Brewing,Хилер,Splash Potion: Jungle Shrooms,803698,107,107,1,1,0.782608695652174,0,Высокая,0.9,На проверку,Replenishment,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Attack Power Reduction,Спек,Witch Doctor,Brewing,Хилер,Mana Jinx,801925,107,48,0.4485981308411215,0.9863013698630136,0,0.9583333333333334,Средняя,0.7326150620919216,На проверку,Attack Power Reduction,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Магические дебафы,Resistance Reduction,Спек,Witch Doctor,Brewing,Хилер,Mana Jinx,801925,107,48,0.4485981308411215,0.9863013698630136,0,0.9583333333333334,Средняя,0.7326150620919216,На проверку,Resistance REDUCTION,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические бафы,Minor Armor and All Stats,Класс,Felsworn,Все специализации класса,Мили-DPS; Рейндж/кастер; Танк,Demonfire Pact,800031,191,155,0.8115183246073299,0.8854867653656349,0.8571428571428571,0,Высокая,0.8713716913414087,На проверку,Stats Flat + Armor (MotW),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические бафы,Attack Power,Класс,Felsworn,Все специализации класса,Мили-DPS; Рейндж/кастер; Танк,Demonfire Pact,800031,191,155,0.8115183246073299,0.8854867653656349,0.8571428571428571,0,Высокая,0.8713716913414087,На проверку,AP Flat (Shout),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,Fire Resistance,Класс,Felsworn,Все специализации класса,Мили-DPS; Рейндж/кастер; Танк,Demonfire Pact,800031,191,155,0.8115183246073299,0.8854867653656349,0.8571428571428571,0,Высокая,0.8713716913414087,На проверку,Fire,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,Shadow Resistance,Класс,Felsworn,Все специализации класса,Мили-DPS; Рейндж/кастер; Танк,Demonfire Pact,800031,191,155,0.8115183246073299,0.8854867653656349,0.8571428571428571,0,Высокая,0.8713716913414087,На проверку,Shadow,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,3% Critical Strike (all),Спек,Felsworn,Infernal,Рейндж/кастер,Greater Man'ari Intuition,523495,122,96,0.7868852459016393,0.7860847018150389,0.8076923076923077,0,Высокая,0.8465211754537597,На проверку,All Crit (3%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Damage Done Reduction (5%),Спек,Felsworn,Infernal,Рейндж/кастер,Felstrike,802678,122,122,1,1,0,1,Высокая,0.9,На проверку,Damage done debuff (5%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Магические дебафы,3% Spell Hit,Спек,Felsworn,Infernal,Рейндж/кастер,Felstrike,802678,122,122,1,1,0,1,Высокая,0.9,На проверку,Spell Hit (3%) DEBUFF,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Магические дебафы,10% Spell Damage,Спек,Felsworn,Infernal,Рейндж/кастер,Felstrike,802678,122,122,1,1,0,1,Высокая,0.9,На проверку,Spell Dmg Taken (10%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические бафы,10% Melee & Range Haste,Спек,Felsworn,Tyrant,Танк,Demonfire Pact,800031,137,92,0.6715328467153284,0.3997308209959623,0.8516483516483516,0,Средняя,0.7101760142514236,На проверку,Melee/Range Haste (10%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,3% Damage Done (all),Спек,Felsworn,Tyrant,Танк,Demonfire Pact,800031,137,92,0.6715328467153284,0.3997308209959623,0.8516483516483516,0,Средняя,0.7101760142514236,На проверку,All Damage Done (3%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,Defensive Cooldown (Raid-Wide),Спек,Felsworn,Tyrant,Танк,Illidari Barrier,300469,137,55,0.40145985401459855,0.8723965565120799,0.8181818181818182,0,Высокая,0.7915054651620833,На проверку,Raid Wall (Divine Sac),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические дебафы,4% Physical Damage,Спек,Felsworn,Tyrant,Танк,Doomscar,563271,137,108,0.7883211678832117,1,0,1,Высокая,0.9,На проверку,Phys Dmg Taken (4%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Attack Power Reduction,Спек,Felsworn,Tyrant,Танк,Doomscar,563271,137,108,0.7883211678832117,1,0,1,Высокая,0.9,На проверку,Attack Power Reduction,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Attack Speed Slow,Спек,Felsworn,Tyrant,Танк,Doomscar,563271,137,108,0.7883211678832117,1,0,1,Высокая,0.9,На проверку,Attack Speed (Slow),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Damage Done Reduction (5%),Спек,Felsworn,Tyrant,Танк,Doomscar,563271,137,108,0.7883211678832117,1,0,1,Высокая,0.9,На проверку,Damage done debuff (5%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические бафы,Minor Armor and All Stats,Класс,Witch Hunter,Все специализации класса,Мили-DPS; Рейндж/кастер; Танк,Greater Inquisitor's Edict,680303,178,22,0.12359550561797752,1,0.9215384615384616,0,Низкая,0.582621722846442,На проверку,Stats Flat + Armor (MotW),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические бафы,Attack Power,Класс,Witch Hunter,Все специализации класса,Мили-DPS; Рейндж/кастер; Танк,Greater Inquisitor's Edict,680303,178,22,0.12359550561797752,1,0.9215384615384616,0,Низкая,0.582621722846442,На проверку,AP Flat (Shout),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,Mana Regeneration,Класс,Witch Hunter,Все специализации класса,Мили-DPS; Рейндж/кастер; Танк,Greater Inquisitor's Edict,680303,178,22,0.12359550561797752,1,0.9215384615384616,0,Низкая,0.582621722846442,На проверку,Mp5,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,Shadow Resistance,Класс,Witch Hunter,Все специализации класса,Мили-DPS; Рейндж/кастер; Танк,Greater Inquisitor's Edict,680303,178,22,0.12359550561797752,1,0.9215384615384616,0,Низкая,0.582621722846442,На проверку,Shadow,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические бафы,10% Melee & Range Haste,Спек,Witch Hunter,Inquisition,Мили-DPS,Born in Blood,560521,118,65,0.5508474576271186,0.028428467185894476,1,0,Низкая,0.5562031619942138,На проверку,Melee/Range Haste (10%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Cast Speed Slow,Спек,Witch Hunter,Inquisition,Мили-DPS,Interrogator,807262,118,117,0.9915254237288136,1,0,1,Высокая,0.9,На проверку,Cast Slow 30%,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Damage Done Reduction (5%),Спек,Witch Hunter,Inquisition,Мили-DPS,Interrogator,807262,118,117,0.9915254237288136,1,0,1,Высокая,0.9,На проверку,Damage done debuff (5%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,3% Spell Haste,Спек,Witch Hunter,Houndmaster,Рейндж/кастер,Shadow Rage,804192,20,20,1,1,0.047619047619047616,0,Средняя,0.6471428571428571,На проверку,Spell Haste (3%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические бафы,5% Attack Power,Спек,Witch Hunter,Houndmaster,Рейндж/кастер,Shadow Rage,804192,20,20,1,1,0.047619047619047616,0,Средняя,0.6471428571428571,На проверку,Attack Power %,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Cast Speed Slow,Спек,Witch Hunter,Houndmaster,Рейндж/кастер,Shadow Claw,800697,20,20,1,1,0,1,Высокая,0.9,На проверку,Cast Slow 30%,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,Replenishment,Спек,Witch Hunter,Black Knight,Танк,Born in Blood,560521,57,23,0.40350877192982454,0.00793733525934089,1,0,Низкая,0.47642877825927965,На проверку,Replenishment,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,Defensive Cooldown (Raid-Wide),Спек,Witch Hunter,Black Knight,Танк,Born in Blood,560521,57,23,0.40350877192982454,0.00793733525934089,1,0,Низкая,0.47642877825927965,На проверку,Raid Wall (Divine Sac),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Cast Speed Slow,Спек,Witch Hunter,Black Knight,Танк,Shadow Brand,680517,57,57,1,0.999449728794906,0,1,Высокая,0.8998624321987265,На проверку,Cast Slow 30%,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Attack Speed Slow,Спек,Witch Hunter,Black Knight,Танк,Shadow Brand,680517,57,57,1,0.999449728794906,0,1,Высокая,0.8998624321987265,На проверку,Attack Speed (Slow),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,3% Critical Strike (all),Спек,Witch Hunter,Boltslinger,Рейндж/кастер,Born in Blood,560521,28,11,0.39285714285714285,0.004929189438727643,1,0,Низкая,0.470279916407301,На проверку,All Crit (3%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Healing Reduction,Спек,Witch Hunter,Boltslinger,Рейндж/кастер,Arbalest Mastery,706241,28,23,0.8214285714285714,1,0,1,Высокая,0.9,На проверку,Healing Reduc (30-50%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Cast Speed Slow,Спек,Witch Hunter,Boltslinger,Рейндж/кастер,Arbalest Mastery,706241,28,23,0.8214285714285714,1,0,1,Высокая,0.9,На проверку,Cast Slow 30%,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические дебафы,Armor Reduction,Спек,Witch Hunter,Boltslinger,Рейндж/кастер,Arbalest Mastery,706241,28,23,0.8214285714285714,1,0,1,Высокая,0.9,На проверку,% Armor Debuff,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,Small Resistances (all),Класс,Stormbringer,Все специализации класса,Рейндж/кастер; Саппорт,Greater Call of the Lightning,575846,112,57,0.5089285714285714,1,0.9642857142857143,0,Средняя,0.7778571428571428,На проверку,Small All Resist,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,Intellect,Класс,Stormbringer,Все специализации класса,Рейндж/кастер; Саппорт,Greater Call of the Lightning,575846,112,57,0.5089285714285714,1,0.9642857142857143,0,Средняя,0.7778571428571428,На проверку,Flat Intellect,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,Mana Regeneration,Класс,Stormbringer,Все специализации класса,Рейндж/кастер; Саппорт,Greater Call of the Lightning,575846,112,57,0.5089285714285714,1,0.9642857142857143,0,Средняя,0.7778571428571428,На проверку,Mp5,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,Concentration,Класс,Stormbringer,Все специализации класса,Рейндж/кастер; Саппорт,Greater Call of the Lightning,575846,112,57,0.5089285714285714,1,0.9642857142857143,0,Средняя,0.7778571428571428,На проверку,Concentration,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,Nature Resistance,Класс,Stormbringer,Все специализации класса,Рейндж/кастер; Саппорт,Greater Call of the Lightning,575846,112,57,0.5089285714285714,1,0.9642857142857143,0,Средняя,0.7778571428571428,На проверку,Nature,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,3% Damage Done (all),Спек,Stormbringer,Maelstrom,Рейндж/кастер,Born in Blood,560521,24,13,0.5416666666666666,0.005018540304686453,1,0,Низкая,0.545699079520616,На проверку,All Damage Done (3%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Магические дебафы,10% Spell Damage,Спек,Stormbringer,Maelstrom,Рейндж/кастер,Stormflow,572866,24,24,1,1,0,1,Высокая,0.9,На проверку,Spell Dmg Taken (10%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Attack Speed Slow,Спек,Stormbringer,Maelstrom,Рейндж/кастер,Stormflow,572866,24,24,1,1,0,1,Высокая,0.9,На проверку,Attack Speed (Slow),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,3% Critical Strike (all),Спек,Stormbringer,Lightning,Рейндж/кастер,Greater Call of the Lightning,575846,86,51,0.5930232558139535,0.869467787114846,0.9583333333333334,0,Высокая,0.7878320630577813,На проверку,All Crit (3%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Магические дебафы,3% Spell Critical Strike Chance,Спек,Stormbringer,Lightning,Рейндж/кастер,Volt,501409,86,86,1,1,0,1,Высокая,0.9,На проверку,Spell Crit Taken Debuff (3%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,Armor,Спек,Stormbringer,Wind,Саппорт,Updraft,704202,8,8,1,1,0.8994252873563219,0,Высокая,0.816,На проверку,Armor (Devo),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,Heroism | Bloodlust,Спек,Stormbringer,Wind,Саппорт,Updraft,704202,8,8,1,1,0.8994252873563219,0,Высокая,0.816,На проверку,Heroism,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические бафы,10% Stats,Класс,Cultist,Все специализации класса,Мили-DPS; Рейндж/кастер; Танк; Хилер,Void Resilience,1119892,244,222,0.9098360655737705,1,0.75,0,Высокая,0.9,На проверку,Stats % (Kings),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,Intellect,Класс,Cultist,Все специализации класса,Мили-DPS; Рейндж/кастер; Танк; Хилер,Void Resilience,1119892,244,222,0.9098360655737705,1,0.75,0,Высокая,0.9,На проверку,Flat Intellect,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,Spirit,Класс,Cultist,Все специализации класса,Мили-DPS; Рейндж/кастер; Танк; Хилер,Void Resilience,1119892,244,222,0.9098360655737705,1,0.75,0,Высокая,0.9,На проверку,Flat Spirit,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,Dampen Magic,Класс,Cultist,Все специализации класса,Мили-DPS; Рейндж/кастер; Танк; Хилер,Void Resilience,1119892,244,222,0.9098360655737705,1,0.75,0,Высокая,0.9,На проверку,Dampen Magic,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,Shadow Resistance,Класс,Cultist,Все специализации класса,Мили-DPS; Рейндж/кастер; Танк; Хилер,Void Resilience,1119892,244,222,0.9098360655737705,1,0.75,0,Высокая,0.9,На проверку,Shadow,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,3% Damage Reduction (all),Спек,Cultist,Heretic,Хилер,Void-Touched,301982,166,166,1,1,0.9615384615384616,0,Высокая,0.9,На проверку,Dmg Reduct(-3%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,Replenishment,Спек,Cultist,Heretic,Хилер,Void-Touched,301982,166,166,1,1,0.9615384615384616,0,Высокая,0.9,На проверку,Replenishment,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Attack Speed Slow,Спек,Cultist,Dreadnought,Танк,Test of Pride,804412,31,21,0.6774193548387096,1,0,0.8571428571428571,Высокая,0.8246543778801844,На проверку,Attack Speed (Slow),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,3% Hit Reduction,Спек,Cultist,Dreadnought,Танк,Test of Pride,804412,31,21,0.6774193548387096,1,0,0.8571428571428571,Высокая,0.8246543778801844,На проверку,Insect Swarm Hit (3%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,Attack Power Reduction,Спек,Cultist,Dreadnought,Танк,Test of Pride,804412,31,21,0.6774193548387096,1,0,0.8571428571428571,Высокая,0.8246543778801844,На проверку,Attack Power Reduction,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,Spell Power,Спек,Cultist,Corruption,Рейндж/кастер,Greater Whispers of C'thun,573067,11,11,1,0.058823529411764705,1,0,Средняя,0.6491960784313726,На проверку,Spell Power Flat,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Кастерские бафы,3% Spell Haste,Спек,Cultist,Corruption,Рейндж/кастер,Greater Whispers of C'thun,573067,11,11,1,0.058823529411764705,1,0,Средняя,0.6491960784313726,На проверку,Spell Haste (3%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Магические дебафы,3% Spell Hit,Спек,Cultist,Corruption,Рейндж/кастер,Unrelenting Void,706908,11,11,1,1,0,1,Высокая,0.8789999999999999,На проверку,Spell Hit (3%) DEBUFF,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-дебафы,3% Hit Reduction,Спек,Cultist,Corruption,Рейндж/кастер,Unrelenting Void,706908,11,11,1,1,0,1,Высокая,0.8789999999999999,На проверку,Insect Swarm Hit (3%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
