Класс,Специализация,Роль,Всего эффектов,Физические бафы,Кастерские бафы,Утилити-бафы,Физические дебафы,Магические дебафы,Утилити-дебафы,Итоговые бафы,Итоговые дебафы,Новых эффектов,Балл,Что закроет,Источник
Primalist,Mountain King,Танк,10,2,2,3,1,0,2,Minor Armor and All Stats; Small Resistances (all); Agility; Spirit; Nature Resistance; Arcane Resistance; Replenishment,4% Physical Damage; Attack Speed Slow; 3% Hit Reduction,10,19,#NAME?,https://coa-raid-comp.ascension.gg/
Primalist,Geomancy,Рейндж/кастер,10,2,2,3,0,2,1,Minor Armor and All Stats; Small Resistances (all); Agility; Spirit; Nature Resistance; Arcane Resistance; 3% Spell Haste,3% Spell Hit; 3% Spell Critical Strike Chance; 3% Hit Reduction,10,19,#NAME?,https://coa-raid-comp.ascension.gg/
Primalist,Grovekeeper,Саппорт,10,2,1,6,1,0,0,Minor Armor and All Stats; Small Resistances (all); Agility; Spirit; Nature Resistance; Arcane Resistance; 6% Healing Done; Armor; Heroism | Bloodlust,Armor Reduction,10,19,#NAME?,https://coa-raid-comp.ascension.gg/
Bloodmage,Sanguine,Рейндж/кастер,6,1,1,1,1,1,1,Stamina; Concentration; 3% Spell Haste,3% Spell Critical Strike Chance; 30% Bleed Damage; Attack Speed Slow,6,13,#NAME?,https://coa-raid-comp.ascension.gg/
Bloodmage,Fleshweaver,Саппорт,5,1,0,3,1,0,0,Stamina; Concentration; Armor; Heroism | Bloodlust,30% Bleed Damage,5,10,#NAME?,https://coa-raid-comp.ascension.gg/
Bloodmage,Accursed,Мили-DPS,6,1,1,2,1,0,1,Stamina; Concentration; 3% Spell Haste; 3% Critical Strike (all),30% Bleed Damage; Healing Reduction,6,11,#NAME?,https://coa-raid-comp.ascension.gg/
Bloodmage,Eternal,Танк,7,2,0,2,1,0,2,Stamina; Concentration; 5% Attack Power; 6% Healing Done,30% Bleed Damage; Attack Speed Slow; 3% Hit Reduction,7,12,#NAME?,https://coa-raid-comp.ascension.gg/
Pyromancer,Flameweaving,Хилер,7,0,4,2,0,0,1,Intellect; Spirit; Strong Mana Cooldown; Fire Resistance; Arcane Resistance; Replenishment,Healing Reduction,7,11,#NAME?,https://coa-raid-comp.ascension.gg/
Pyromancer,Draconic,Рейндж/кастер,8,0,4,2,0,1,1,Intellect; Spirit; Strong Mana Cooldown; Fire Resistance; Arcane Resistance; 3% Spell Haste,3% Spell Hit; Healing Reduction,8,14,#NAME?,https://coa-raid-comp.ascension.gg/
Pyromancer,Incineration,Рейндж/кастер,8,0,3,3,0,1,1,Intellect; Spirit; Strong Mana Cooldown; Fire Resistance; Arcane Resistance; 3% Critical Strike (all),3% Spell Critical Strike Chance; Healing Reduction,8,14,#NAME?,https://coa-raid-comp.ascension.gg/
Ranger,Brigand,Мили-DPS,6,3,0,1,0,0,2,Minor Armor and All Stats; Agility; Nature Resistance; 10% Melee & Range Haste,Healing Reduction; 3% Hit Reduction,6,10,#NAME?,https://coa-raid-comp.ascension.gg/
Ranger,Archery,Рейндж/кастер,7,3,0,1,2,0,1,Minor Armor and All Stats; Agility; Nature Resistance; 10% Melee & Range Haste,4% Physical Damage; 30% Bleed Damage; 3% Hit Reduction,7,13,#NAME?,https://coa-raid-comp.ascension.gg/
Ranger,Farstrider,Саппорт,8,3,0,3,0,0,2,Minor Armor and All Stats; Agility; Nature Resistance; 10% Melee & Range Haste; Armor; Heroism | Bloodlust,Attack Power Reduction; 3% Hit Reduction,8,18,#NAME?,https://coa-raid-comp.ascension.gg/
Reaper,Soul,Мили-DPS,6,2,0,1,0,1,2,Small Resistances (all); Stamina; Strength,10% Spell Damage; Attack Speed Slow; 3% Hit Reduction,6,12,#NAME?,https://coa-raid-comp.ascension.gg/
Reaper,Harvest,Мили-DPS,7,2,0,2,0,0,3,Small Resistances (all); Stamina; Strength; 3% Critical Strike (all),Healing Reduction; Attack Power Reduction; 3% Hit Reduction,7,13,#NAME?,https://coa-raid-comp.ascension.gg/
Reaper,Domination,Танк,8,2,0,3,1,0,2,Small Resistances (all); Stamina; Strength; 3% Critical Strike (all); 3% Damage Reduction (all),4% Physical Damage; Attack Speed Slow; 3% Hit Reduction,8,18,#NAME?,https://coa-raid-comp.ascension.gg/
Runemaster,Glyphic,Рейндж/кастер,11,2,2,5,0,1,1,10% Stats; Agility; 5% Resource Reduction; Strong Mana Cooldown; Amplify Magic; Fire Resistance; Nature Resistance; Arcane Resistance; Replenishment,10% Spell Damage; Healing Reduction,11,18,#NAME?,https://coa-raid-comp.ascension.gg/
Runemaster,Riftblade,Мили-DPS,11,2,2,6,0,0,1,10% Stats; Agility; 5% Resource Reduction; Strong Mana Cooldown; Amplify Magic; Fire Resistance; Nature Resistance; Arcane Resistance; 3% Damage Done (all); Replenishment,Healing Reduction,11,18,#NAME?,https://coa-raid-comp.ascension.gg/
Runemaster,Engravement,Мили-DPS,12,3,2,5,0,0,2,10% Stats; Agility; 5% Resource Reduction; Strong Mana Cooldown; Amplify Magic; Fire Resistance; Nature Resistance; Arcane Resistance; 10% Melee & Range Haste; Replenishment,Healing Reduction; Attack Power Reduction,12,21,#NAME?,https://coa-raid-comp.ascension.gg/
Chronomancer,Time,Хилер,7,0,4,3,0,0,0,Intellect; Spirit; Strong Mana Cooldown; Amplify Magic; Dampen Magic; 3% Spell Haste; 3% Damage Reduction (all),—,7,13,#NAME?,https://coa-raid-comp.ascension.gg/
Chronomancer,Infinite,Рейндж/кастер,9,0,3,3,0,2,1,Intellect; Spirit; Strong Mana Cooldown; Amplify Magic; Dampen Magic; 3% Damage Done (all),3% Spell Hit; 10% Spell Damage; Cast Speed Slow,9,17,#NAME?,https://coa-raid-comp.ascension.gg/
Chronomancer,Artificer,Рейндж/кастер,9,0,4,3,0,0,2,Intellect; Spirit; Strong Mana Cooldown; Amplify Magic; Dampen Magic; 3% Critical Strike (all); Replenishment,Attack Speed Slow; 3% Hit Reduction,9,17,#NAME?,https://coa-raid-comp.ascension.gg/
Necromancer,Animation,Рейндж/кастер,8,1,1,2,1,0,3,Stamina; Spell Power; Fire Resistance; 3% Damage Done (all),Healing Reduction; Armor Reduction; Attack Power Reduction; Attack Speed Slow,8,18,#NAME?,https://coa-raid-comp.ascension.gg/
Necromancer,Death,Рейндж/кастер,9,1,2,1,1,1,3,Stamina; Spell Power; Fire Resistance; 3% Spell Haste,10% Spell Damage; Healing Reduction; Armor Reduction; Attack Power Reduction; Attack Speed Slow,9,21,#NAME?,https://coa-raid-comp.ascension.gg/
Necromancer,Rime,Рейндж/кастер,9,1,1,2,1,1,3,Stamina; Spell Power; Fire Resistance; 3% Critical Strike (all),3% Spell Critical Strike Chance; Healing Reduction; Armor Reduction; Attack Power Reduction; Attack Speed Slow,9,21,#NAME?,https://coa-raid-comp.ascension.gg/
Venomancer,Stalking,Мили-DPS,7,2,1,1,0,2,1,Minor Armor and All Stats; Agility; Spirit; Fire Resistance,3% Spell Critical Strike Chance; Cast Speed Slow; 10% Spell Damage,7,14,#NAME?,https://coa-raid-comp.ascension.gg/
Venomancer,Vizier,Хилер,7,2,2,2,0,0,1,Minor Armor and All Stats; Agility; Spirit; Fire Resistance; 6% Healing Done; Replenishment,Cast Speed Slow,7,12,#NAME?,https://coa-raid-comp.ascension.gg/
Venomancer,Fortitude,Танк,8,2,1,2,0,0,3,Minor Armor and All Stats; Agility; Spirit; Fire Resistance; 3% Damage Reduction (all),Cast Speed Slow; Attack Speed Slow; 3% Hit Reduction,8,15,#NAME?,https://coa-raid-comp.ascension.gg/
Venomancer,Rot,Рейндж/кастер,8,2,2,1,0,1,2,Minor Armor and All Stats; Agility; Spirit; Fire Resistance; 3% Spell Haste,3% Spell Hit; Healing Reduction; Cast Speed Slow,8,15,#NAME?,https://coa-raid-comp.ascension.gg/
Tinker,Demolition,Рейндж/кастер,7,2,2,2,0,0,1,Attack Power; Mana Regeneration; Strong Mana Cooldown; Concentration; Amplify Magic; 5% Attack Power,Attack Power Reduction,7,13,#NAME?,https://coa-raid-comp.ascension.gg/
Tinker,Mechanics,Рейндж/кастер,7,2,2,2,1,0,0,Attack Power; Mana Regeneration; Strong Mana Cooldown; Concentration; Amplify Magic; 10% Melee & Range Haste,Armor Reduction,7,13,#NAME?,https://coa-raid-comp.ascension.gg/
Tinker,Invention,Хилер,8,1,3,4,0,0,0,Attack Power; Mana Regeneration; Strong Mana Cooldown; Concentration; Amplify Magic; 3% Spell Haste; 3% Damage Reduction (all); 6% Healing Done,—,8,14,#NAME?,https://coa-raid-comp.ascension.gg/
